time,power
2024-11-23 17:39:42.909920,339
2024-11-23 17:39:47.919566,327
2024-11-23 17:39:52.938165,329
2024-11-23 17:39:58.057735,324
2024-11-23 17:40:03.130299,327
2024-11-23 17:40:08.227812,320
2024-11-23 17:40:17.916425,344
2024-11-23 17:40:20.467855,344
2024-11-23 17:40:30.129304,335
2024-11-23 17:40:32.699545,316
2024-11-23 17:40:37.221723,324
2024-11-23 17:40:42.319254,317
2024-11-23 17:40:47.376865,323
2024-11-23 17:40:50.158831,338
2024-11-23 17:40:57.450034,331
2024-11-23 17:41:02.502633,327
2024-11-23 17:41:07.562191,320
2024-11-23 17:41:12.588749,298
2024-11-23 17:41:17.643400,300
2024-11-23 17:41:22.259477,294
2024-11-23 17:41:43.136909,319
2024-11-23 17:41:55.811405,303
2024-11-23 17:42:00.845202,298
2024-11-23 17:42:05.876820,318
2024-11-23 17:42:08.544946,306
2024-11-23 17:42:16.028958,330
2024-11-23 17:42:20.612040,306
2024-11-23 17:42:25.723523,297
2024-11-23 17:42:30.787222,309
2024-11-23 17:42:35.849705,294
2024-11-23 17:42:40.886272,322
2024-11-23 17:42:43.555392,304
2024-11-23 17:42:51.037505,317
2024-11-23 17:42:55.595532,307
2024-11-23 17:43:00.615167,303
2024-11-23 17:43:05.633802,298
2024-11-23 17:43:10.713417,295
2024-11-23 17:43:15.865940,296
2024-11-23 17:43:20.926560,297
2024-11-23 17:43:26.013079,301
2024-11-23 17:43:31.092324,308
2024-11-23 17:43:35.704657,327
2024-11-23 17:43:40.761266,337
